versao,escalabilidade,processos_mpi,threads_openmp,linhas_dataset,tempo_segundos,speedup,eficiencia,sse_medio,iteracoes_medias
Sequencial,forte,1,1,250000,0.713329,1.0,1.0,33353.536656,19.0
MPI+OpenMP,forte,1,1,250000,0.743734,0.9591,0.9591,33353.536656,19.0
MPI+OpenMP,forte,2,1,250000,0.649106,1.0989,0.5495,33353.536656,19.0
MPI+OpenMP,forte,1,2,250000,0.732647,0.9736,0.4868,33353.536656,19.0
MPI+OpenMP,forte,4,1,250000,0.666477,1.0703,0.2676,33353.536656,19.0
MPI+OpenMP,forte,1,4,250000,0.732916,0.9733,0.2433,33353.536656,19.0
MPI+OpenMP,forte,2,2,250000,0.64232,1.1106,0.2776,33353.536656,19.0
MPI+OpenMP,forte,8,1,250000,0.791055,0.9017,0.1127,33353.536656,19.0
MPI+OpenMP,forte,1,8,250000,0.737388,0.9674,0.1209,33353.536656,19.0
MPI+OpenMP,forte,4,2,250000,0.735966,0.9692,0.1212,33353.536656,19.0
MPI+OpenMP,forte,16,1,250000,0.781257,0.9131,0.0571,33353.536656,19.0
MPI+OpenMP,forte,1,16,250000,0.741391,0.9622,0.0601,33353.536656,19.0
MPI+OpenMP,forte,8,2,250000,0.714833,0.9979,0.0624,33353.536656,19.0
MPI+OpenMP,forte,32,1,250000,1.137926,0.6269,0.0196,33353.536656,19.0
MPI+OpenMP,forte,1,32,250000,0.75326,0.947,0.0296,33353.536656,19.0
MPI+OpenMP,forte,16,2,250000,0.77214,0.9238,0.0289,33353.536656,19.0
MPI+OpenMP,forte,32,2,250000,1.88168,0.3791,0.0059,33353.536656,19.0
Sequencial,fraca,1,1,15625,0.060302,1.0,1.0,2080.372863,40.0
MPI+OpenMP,fraca,1,1,15625,0.057857,1.0423,1.0423,2080.372863,40.0
CUDA,fraca,,,15625,0.328281,0.1837,0.1837,2080.372863,40.0
Sequencial,fraca,1,1,31250,0.093663,1.0,1.0,4190.662386,21.0
MPI+OpenMP,fraca,2,1,31250,0.084048,1.1144,0.5572,4190.662386,21.0
CUDA,fraca,,,31250,0.357387,0.2621,0.2621,4190.662386,21.0
Sequencial,fraca,1,1,62500,0.188627,1.0,1.0,8370.314873,22.0
MPI+OpenMP,fraca,4,1,62500,0.17049,1.1064,0.2766,8370.314873,22.0
CUDA,fraca,,,62500,0.470359,0.401,0.401,8370.314873,22.0
Sequencial,fraca,1,1,125000,0.464849,1.0,1.0,16671.04717,41.0
MPI+OpenMP,fraca,8,1,125000,0.513882,0.9046,0.1131,16671.04717,41.0
CUDA,fraca,,,125000,0.882399,0.5268,0.5268,16671.04717,41.0
Sequencial,fraca,1,1,250000,0.733853,1.0,1.0,33353.536656,19.0
MPI+OpenMP,fraca,16,1,250000,0.666992,1.1002,0.0688,33353.536656,19.0
CUDA,fraca,,,250000,1.148275,0.6391,0.6391,33353.536656,19.0
OpenMP-GPU,fraca,,,15625,0.335438,0.1798,0.1798,2080.372863,40.0
OpenMP-GPU,fraca,,,31250,0.375476,0.2495,0.2495,4190.662386,21.0
OpenMP-GPU,fraca,,,62500,0.49196,0.3834,0.3834,8370.314873,22.0
OpenMP-GPU,fraca,,,125000,0.720356,0.6453,0.6453,16671.04717,41.0
OpenMP-GPU,fraca,,,250000,1.156336,0.6346,0.6346,33353.536656,19.0
